 School Information ,,,,,,,State English Learners,,Students with Disabilities,,Economically Disadvantaged,
School ID, School Name , Network ,Governance,School Type,Community Area,Total,N,%,N,%,N,%
400053,NOBLE - GOLDER HS,Charter,Charter,Traditional,WEST TOWN,643,225,35.0%,86,13.4%,586,91.1%
400054,NOBLE - PRITZKER HS,Charter,Charter,Traditional,HERMOSA,989,427,43.2%,117,11.8%,922,93.2%
400055,NOBLE - RAUNER HS,Charter,Charter,Traditional,WEST TOWN,556,157,28.2%,84,15.1%,453,81.5%
400056,NOBLE - ROWE CLARK HS,Charter,Charter,Traditional,HUMBOLDT PARK,311,25,8.0%,71,22.8%,302,97.1%
400057,NOBLE - UIC HS,Charter,Charter,Traditional,NEAR WEST SIDE,949,166,17.5%,124,13.1%,828,87.2%
400058,NLCP - CHRISTIANA HS,Charter,Charter,Traditional,NORTH LAWNDALE,251,1,0.4%,69,27.5%,247,98.4%
400059,NLCP - COLLINS HS,Charter,Charter,Traditional,NORTH LAWNDALE,268,1,0.4%,45,16.8%,262,97.8%
400060,AHS - PASSAGES,Charter,Charter,Traditional,EDGEWATER,385,271,70.4%,37,9.6%,271,70.4%
400061,PERSPECTIVES - LEADERSHIP HS,Charter,Charter,Traditional,CHATHAM,821,3,0.4%,111,13.5%,760,92.6%
400062,PERSPECTIVES - TECH HS,Charter,Charter,Traditional,CHATHAM,312,1,0.3%,49,15.7%,281,90.1%
400064,PERSPECTIVES - JOSLIN HS,Charter,Charter,Traditional,NEAR SOUTH SIDE,317,4,1.3%,65,20.5%,294,92.7%
400066,PERSPECTIVES - MATH & SCI HS,Charter,Charter,Traditional,DOUGLAS,394,1,0.3%,56,14.2%,375,95.2%
400068,PLATO,Contract,Contract,Traditional,AUSTIN,172,0,0.0%,21,12.2%,158,91.9%
400069,POLARIS,Charter,Charter,Traditional,HUMBOLDT PARK,361,5,1.4%,47,13.0%,307,85.0%
400071,PROVIDENCE ENGLEWOOD,Charter,Charter,Traditional,WEST ENGLEWOOD,434,12,2.8%,39,9.0%,348,80.2%
400075,U OF C - DONOGHUE,Charter,Charter,Traditional,OAKLAND,500,18,3.6%,41,8.2%,400,80.0%
400076,U OF C - NKO,Charter,Charter,Traditional,KENWOOD,309,2,0.6%,41,13.3%,225,72.8%
400077,U OF C - WOODLAWN HS,Charter,Charter,Traditional,WOODLAWN,603,10,1.7%,87,14.4%,523,86.7%
400079,ACERO - ZIZUMBO,Charter,Charter,Traditional,ARCHER HEIGHTS,534,271,50.7%,55,10.3%,410,76.8%
400080,ACERO - TORRES,Charter,Charter,Traditional,ARCHER HEIGHTS,528,323,61.2%,70,13.3%,455,86.2%
400081,ACERO - DE LAS CASAS,Charter,Charter,Traditional,LOWER WEST SIDE,225,140,62.2%,42,18.7%,181,80.4%
400082,ACERO - FUENTES,Charter,Charter,Traditional,AVONDALE,371,209,56.3%,61,16.4%,317,85.4%
400083,ACERO - PAZ,Charter,Charter,Traditional,SOUTH LAWNDALE,101,67,66.3%,15,14.9%,91,90.1%
400084,ACERO - TAMAYO,Charter,Charter,Traditional,GAGE PARK,268,176,65.7%,49,18.3%,232,86.6%
400085,ACERO - GARCIA HS,Charter,Charter,Traditional,ARCHER HEIGHTS,655,342,52.2%,118,18.0%,580,88.5%
400086,URBAN PREP - ENGLEWOOD HS,Charter,Charter,Traditional,ENGLEWOOD,87,6,6.9%,25,28.7%,81,93.1%
400089,ACERO - MARQUEZ,Charter,Charter,Traditional,BRIGHTON PARK,508,331,65.2%,80,15.7%,451,88.8%
400091,CHICAGO TECH HS,Contract,Contract,Traditional,NEAR WEST SIDE,328,19,5.8%,66,20.1%,305,93.0%
400092,CICS - BOND,Charter,Charter,Traditional,RIVERDALE,279,1,0.4%,34,12.2%,226,81.0%
400094,EPIC HS,Charter,Charter,Traditional,SOUTH CHICAGO,242,75,31.0%,46,19.0%,221,91.3%
400096,ROWE,Charter,Charter,Traditional,WEST TOWN,635,219,34.5%,73,11.5%,506,79.7%
400097,NOBLE - BULLS HS,Charter,Charter,Traditional,NEAR WEST SIDE,"1,067",170,15.9%,215,20.1%,967,90.6%
400098,NOBLE - MUCHIN HS,Charter,Charter,Traditional,LOOP,916,169,18.4%,128,14.0%,744,81.2%
400101,ACERO - CISNEROS,Charter,Charter,Traditional,BRIGHTON PARK,327,202,61.8%,54,16.5%,274,83.8%
400104,INSTITUTO - HEALTH,Charter,Charter,Traditional,LOWER WEST SIDE,562,351,62.5%,91,16.2%,537,95.6%
400105,URBAN PREP - BRONZEVILLE HS,Charter,Charter,Traditional,DOUGLAS,143,2,1.4%,33,23.1%,128,89.5%
400106,NOBLE - JOHNSON HS,Charter,Charter,Traditional,ENGLEWOOD,505,13,2.6%,110,21.8%,477,94.5%
400107,LEARN - SOUTH CHICAGO,Charter,Charter,Traditional,SOUTH CHICAGO,390,28,7.2%,39,10.0%,311,79.7%
400111,LEARN - PERKINS,Charter,Charter,Traditional,AUBURN GRESHAM,482,5,1.0%,58,12.0%,372,77.2%
400112,ACERO - IDAR,Charter,Charter,Traditional,GAGE PARK,529,333,62.9%,61,11.5%,456,86.2%
400114,ACERO - SANTIAGO,Charter,Charter,Traditional,WEST TOWN,223,115,51.6%,37,16.6%,188,84.3%
400115,CATALYST - MARIA,Charter,Charter,Traditional,CHICAGO LAWN,539,130,24.1%,75,13.9%,480,89.1%
400116,MONTESSORI ENGLEWOOD,Charter,Charter,Traditional,WEST ENGLEWOOD,354,50,14.1%,62,17.5%,298,84.2%
400117,NOBLE - HANSBERRY HS,Charter,Charter,Traditional,AUBURN GRESHAM,528,4,0.8%,121,22.9%,478,90.5%
400118,NOBLE - DRW HS,Charter,Charter,Traditional,NORTH LAWNDALE,317,5,1.6%,75,23.7%,301,95.0%
400119,LEGAL PREP HS,Charter,Charter,Traditional,WEST GARFIELD PARK,216,3,1.4%,47,21.8%,202,93.5%
400120,ACERO - CLEMENTE,Charter,Charter,Traditional,BELMONT CRAGIN,463,215,46.4%,71,15.3%,383,82.7%
400121,ACERO - DE LA CRUZ,Charter,Charter,Traditional,WEST RIDGE,430,176,40.9%,81,18.8%,378,87.9%
400123,YCCS - SCHOLASTIC ACHIEVEMENT,Options,Charter,Options,AUSTIN,117,1,0.9%,23,19.7%,110,94.0%
400124,YCCS - MCKINLEY,Options,Charter,Options,DOUGLAS,92,1,1.1%,24,26.1%,90,97.8%
400125,YCCS - ASPIRA PANTOJA,Options,Charter,Options,AVONDALE,184,98,53.3%,25,13.6%,157,85.3%
400126,YCCS - ASSOCIATION HOUSE,Options,Charter,Options,HUMBOLDT PARK,100,19,19.0%,23,23.0%,91,91.0%
400128,YCCS - CCA ACADEMY,Options,Charter,Options,NORTH LAWNDALE,120,2,1.7%,29,24.2%,115,95.8%
400129,YCCS - PROGRESSIVE LEADERSHIP,Options,Charter,Options,GREATER GRAND CROSSING,114,0,0.0%,19,16.7%,109,95.6%
400130,YCCS - YOUTH DEVELOPMENT,Options,Charter,Options,AUBURN GRESHAM,83,2,2.4%,21,25.3%,73,88.0%
400131,YCCS - CAMPOS,Options,Charter,Options,WEST TOWN,187,84,44.9%,23,12.3%,162,86.6%
400133,YCCS - INNOVATIONS,Options,Charter,Options,LOOP,395,13,3.3%,77,19.5%,378,95.7%
400135,YCCS - LATINO YOUTH,Options,Charter,Options,SOUTH LAWNDALE,168,65,38.7%,33,19.6%,153,91.1%
400136,YCCS - OLIVE HARVEY,Options,Charter,Options,PULLMAN,122,7,5.7%,26,21.3%,111,91.0%
400139,YCCS - SULLIVAN,Options,Charter,Options,AVALON PARK,277,5,1.8%,45,16.2%,275,99.3%
400141,YCCS - TRUMAN,Options,Charter,Options,UPTOWN,177,63,35.6%,30,16.9%,138,78.0%
400143,YCCS - WEST TOWN,Options,Charter,Options,HUMBOLDT PARK,105,9,8.6%,20,19.0%,98,93.3%
400144,YCCS - WEST,Options,Charter,Options,AUSTIN,73,3,4.1%,17,23.3%,70,95.9%
400145,YCCS - YOUTH CONNECTION,Options,Charter,Options,LOWER WEST SIDE,102,8,7.8%,11,10.8%,95,93.1%
400146,KIPP - ACADEMY,Charter,Charter,Traditional,AUSTIN,664,61,9.2%,112,16.9%,552,83.1%
400147,CHICAGO EXCEL HS,Options,Contract,Options,MORGAN PARK,268,3,1.1%,31,11.6%,245,91.4%
400149,ACERO - SOTO HS,Charter,Charter,Traditional,GAGE PARK,551,313,56.8%,93,16.9%,523,94.9%
400150,YCCS - CHATHAM,Options,Charter,Options,CHATHAM,108,2,1.9%,22,20.4%,102,94.4%
400151,LEARN - 7,Charter,Charter,Traditional,EAST GARFIELD PARK,152,1,0.7%,20,13.2%,118,77.6%
400153,ACERO - BRIGHTON PARK,Charter,Charter,Traditional,BRIGHTON PARK,466,264,56.7%,50,10.7%,398,85.4%
400156,NOBLE - BUTLER HS,Charter,Charter,Traditional,PULLMAN,691,17,2.5%,109,15.8%,639,92.5%
400157,NOBLE - BAKER HS,Charter,Charter,Traditional,SOUTH CHICAGO,283,34,12.0%,66,23.3%,264,93.3%
400159,CHRISTOPHER HOUSE,Charter,Charter,Traditional,BELMONT CRAGIN,472,219,46.4%,77,16.3%,394,83.5%
400161,CHICAGO COLLEGIATE,Charter,Charter,Traditional,WEST PULLMAN,252,1,0.4%,46,18.3%,227,90.1%
400162,INTRINSIC HS,Charter,Charter,Traditional,IRVING PARK,984,387,39.3%,165,16.8%,889,90.3%
400163,KIPP - BLOOM,Charter,Charter,Traditional,ENGLEWOOD,944,18,1.9%,112,11.9%,812,86.0%
400164,INSTITUTO - JUSTICE HS,Options,Charter,Options,LOWER WEST SIDE,96,53,55.2%,8,8.3%,73,76.0%
400165,LEARN - MIDDLE,Charter,Charter,Traditional,EAST GARFIELD PARK,176,0,0.0%,20,11.4%,163,92.6%
400167,HORIZON - SOUTHWEST,Charter,Charter,Traditional,GAGE PARK,737,233,31.6%,84,11.4%,668,90.6%
400168,GREAT LAKES,Charter,Charter,Traditional,SOUTH CHICAGO,544,33,6.1%,70,12.9%,461,84.7%
400169,NOBLE - ITW SPEER HS,Charter,Charter,Traditional,BELMONT CRAGIN,"1,130",462,40.9%,154,13.6%,"1,037",91.8%
400170,NOBLE - ACADEMY HS,Charter,Charter,Traditional,NEAR NORTH SIDE,402,77,19.2%,55,13.7%,352,87.6%
400172,ASPIRA - BUSINESS & FINANCE HS,Charter,Charter,Traditional,AVONDALE,419,238,56.8%,97,23.2%,379,90.5%
400173,PATHWAYS - BRIGHTON PARK HS,Options,ALOP,Options,BRIGHTON PARK,422,121,28.7%,60,14.2%,397,94.1%
400175,EXCEL SOUTH SHORE HS,Options,Contract,Options,SOUTH SHORE,216,7,3.2%,24,11.1%,192,88.9%
400176,EXCEL SOUTHWEST HS,Options,Contract,Options,CHICAGO LAWN,186,41,22.0%,22,11.8%,175,94.1%
400178,MOVING EVEREST,Charter,Charter,Traditional,AUSTIN,758,12,1.6%,132,17.4%,649,85.6%
400179,NOBLE - MANSUETO HS,Charter,Charter,Traditional,BRIGHTON PARK,"1,087",516,47.5%,143,13.2%,"1,008",92.7%
400180,KIPP - ONE,Charter,Charter,Traditional,HUMBOLDT PARK,"1,012",314,31.0%,109,10.8%,863,85.3%
400181,ART IN MOTION,Charter,Charter,Traditional,SOUTH SHORE,601,6,1.0%,127,21.1%,564,93.8%
400182,CATALYST MARIA HS,Charter,Charter,Traditional,CHICAGO LAWN,565,187,33.1%,93,16.5%,534,94.5%
609674,CHICAGO VOCATIONAL HS,Network 17,District,Traditional,AVALON PARK,579,65,11.2%,174,30.1%,517,89.3%
609676,DUNBAR HS,Network 17,District,Traditional,DOUGLAS,334,6,1.8%,70,21.0%,321,96.1%
609678,JONES HS,Network 15,District,Traditional,LOOP,"1,939",68,3.5%,181,9.3%,823,42.4%
609679,PROSSER HS,Network 15,District,Traditional,BELMONT CRAGIN,"1,165",378,32.4%,181,15.5%,"1,075",92.3%
609680,PAYTON HS,Network 15,District,Traditional,NEAR NORTH SIDE,"1,257",33,2.6%,131,10.4%,433,34.4%
609682,RICHARDS HS,Network 16,District,Traditional,NEW CITY,305,156,51.1%,57,18.7%,286,93.8%
609691,NORTH-GRAND HS,Network 15,District,Traditional,HUMBOLDT PARK,"1,015",447,44.0%,193,19.0%,933,91.9%
609692,SIMEON HS,Network 17,District,Traditional,CHATHAM,"1,052",7,0.7%,165,15.7%,972,92.4%
609693,WESTINGHOUSE HS,Network 15,District,Traditional,HUMBOLDT PARK,"1,226",109,8.9%,114,9.3%,997,81.3%
609694,HANCOCK HS,Network 15,District,Traditional,CLEARING,"1,043",43,4.1%,61,5.8%,732,70.2%
609695,AMUNDSEN HS,Network 14,District,Traditional,LINCOLN SQUARE,"1,427",211,14.8%,244,17.1%,602,42.2%
609698,BOGAN HS,Network 16,District,Traditional,ASHBURN,599,165,27.5%,140,23.4%,528,88.1%
609704,FARRAGUT HS,Network 16,District,Traditional,SOUTH LAWNDALE,435,200,46.0%,118,27.1%,402,92.4%
609705,FENGER HS,Network 17,District,Traditional,ROSELAND,196,4,2.0%,46,23.5%,179,91.3%
609708,FOREMAN HS,Network 14,District,Traditional,PORTAGE PARK,563,330,58.6%,111,19.7%,493,87.6%
609709,GAGE PARK HS,Network 16,District,Traditional,GAGE PARK,342,225,65.8%,66,19.3%,299,87.4%
609710,HARLAN HS,Network 17,District,Traditional,ROSELAND,159,8,5.0%,36,22.6%,145,91.2%
609712,HIRSCH HS,Network 17,District,Traditional,GREATER GRAND CROSSING,102,7,6.9%,22,21.6%,88,86.3%
609713,HYDE PARK HS,Network 17,District,Traditional,WOODLAWN,755,12,1.6%,146,19.3%,726,96.2%
609715,KELLY HS,Network 16,District,Traditional,BRIGHTON PARK,"1,604",842,52.5%,270,16.8%,"1,478",92.1%
609716,KELVYN PARK HS,Network 14,District,Traditional,HERMOSA,542,303,55.9%,98,18.1%,483,89.1%
609718,KENNEDY HS,Network 16,District,Traditional,GARFIELD RIDGE,"1,550",396,25.5%,310,20.0%,"1,141",73.6%
609719,LAKE VIEW HS,Network 14,District,Traditional,LAKE VIEW,"1,369",378,27.6%,209,15.3%,"1,129",82.5%
609720,LANE TECH HS,Network 14,District,Traditional,NORTH CENTER,"4,596",173,3.8%,488,10.6%,"1,767",38.4%
609722,MANLEY HS,Network 15,District,Traditional,EAST GARFIELD PARK,128,2,1.6%,37,28.9%,118,92.2%
609723,MARSHALL HS,Network 15,District,Traditional,EAST GARFIELD PARK,199,2,1.0%,58,29.1%,178,89.4%
609724,MATHER HS,Network 14,District,Traditional,WEST RIDGE,"1,665",808,48.5%,259,15.6%,"1,382",83.0%
609725,MORGAN PARK HS,Network 16,District,Traditional,MORGAN PARK,"1,218",15,1.2%,157,12.9%,984,80.8%
609726,BROOKS HS,ISP,District,Traditional,ROSELAND,994,8,0.8%,70,7.0%,645,64.9%
609727,PHILLIPS HS,Network 17,District,Traditional,DOUGLAS,402,12,3.0%,82,20.4%,373,92.8%
609728,ROOSEVELT HS,Network 14,District,Traditional,ALBANY PARK,"1,055",699,66.3%,168,15.9%,880,83.4%
609729,SCHURZ HS,Network 14,District,Traditional,IRVING PARK,"1,127",608,53.9%,244,21.7%,949,84.2%
609730,SENN HS,Network 14,District,Traditional,EDGEWATER,"1,496",503,33.6%,190,12.7%,"1,079",72.1%
609732,STEINMETZ HS,Network 14,District,Traditional,BELMONT CRAGIN,"1,059",514,48.5%,169,16.0%,922,87.1%
609733,SULLIVAN HS,Network 14,District,Traditional,ROGERS PARK,713,466,65.4%,141,19.8%,577,80.9%
609734,TAFT HS,Network 14,District,Traditional,NORWOOD PARK,"4,303",991,23.0%,504,11.7%,"2,494",58.0%
609735,TILDEN HS,Network 16,District,Traditional,NEW CITY,239,90,37.7%,71,29.7%,193,80.8%
609737,VON STEUBEN HS,Network 14,District,Traditional,NORTH PARK,"1,675",260,15.5%,123,7.3%,"1,100",65.7%
609738,LINCOLN PARK HS,Network 14,District,Traditional,LINCOLN PARK,"2,179",187,8.6%,169,7.8%,"1,094",50.2%
609739,WASHINGTON HS,Network 17,District,Traditional,EAST SIDE,"1,468",505,34.4%,248,16.9%,"1,235",84.1%
609740,WELLS HS,Network 15,District,Traditional,WEST TOWN,366,151,41.3%,64,17.5%,284,77.6%
609741,HUBBARD HS,Network 16,District,Traditional,WEST LAWN,"1,588",643,40.5%,209,13.2%,"1,444",90.9%
609744,NORTHSIDE LEARNING HS,Network 14,District,Specialty,NORTH PARK,269,132,49.1%,269,100.0%,217,80.7%
609745,SOUTHSIDE HS,Network 16,District,Specialty,WEST ENGLEWOOD,376,109,29.0%,376,100.0%,329,87.5%
609746,KENWOOD HS,Network 17,District,Traditional,KENWOOD,"2,233",62,2.8%,128,5.7%,"1,367",61.2%
609748,YORK HS,Options,District,Options,SOUTH LAWNDALE,161,11,6.8%,55,34.2%,149,92.5%
609749,NORTHSIDE PREP HS,Network 14,District,Traditional,NORTH PARK,"1,063",51,4.8%,138,13.0%,427,40.2%
609750,SIMPSON HS,Options,District,Options,NEAR WEST SIDE,34,12,35.3%,7,20.6%,33,97.1%
609751,KING HS,Network 17,District,Traditional,KENWOOD,799,12,1.5%,99,12.4%,685,85.7%
609753,CHICAGO AGRICULTURE HS,ISP,District,Traditional,MOUNT GREENWOOD,758,51,6.7%,190,25.1%,415,54.7%
609754,CHICAGO MILITARY HS,Network 17,District,Traditional,DOUGLAS,195,26,13.3%,36,18.5%,179,91.8%
609755,YOUNG HS,Network 15,District,Traditional,NEAR WEST SIDE,"2,210",72,3.3%,213,9.6%,797,36.1%
609756,CURIE HS,Network 15,District,Traditional,ARCHER HEIGHTS,"2,888",984,34.1%,336,11.6%,"2,554",88.4%
609759,CLEMENTE HS,Network 15,District,Traditional,WEST TOWN,673,318,47.3%,138,20.5%,604,89.7%
609760,CARVER MILITARY HS,Network 17,District,Traditional,RIVERDALE,416,90,21.6%,60,14.4%,369,88.7%
609761,CORLISS HS,Network 17,District,Traditional,PULLMAN,364,33,9.1%,80,22.0%,305,83.8%
609762,JULIAN HS,Network 16,District,Traditional,WASHINGTON HEIGHTS,404,8,2.0%,116,28.7%,380,94.1%
