 School Information ,,,,,,,State English Learners,,Students with Disabilities,,Economically Disadvantaged,
School ID, School Name , Network ,Governance,School Type,Community Area,Total,N,%,N,%,N,%
610547,SOUTH SHORE INTL HS,Network 17,District,Traditional,SOUTH SHORE,595,13,2.2%,73,12.3%,499,83.9%
610548,STEM,ISP,District,Traditional,NEAR WEST SIDE,401,56,14.0%,41,10.2%,186,46.4%
610557,PATHWAYS - ASHBURN HS,Options,ALOP,Options,ASHBURN,276,59,21.4%,43,15.6%,248,89.9%
610558,GOODE HS,Network 16,District,Traditional,ASHBURN,967,257,26.6%,169,17.5%,858,88.7%
610559,SHIELDS MIDDLE,Network 8,District,Traditional,BRIGHTON PARK,327,151,46.2%,58,17.7%,312,95.4%
610561,CRANE MEDICAL HS,Network 15,District,Traditional,NEAR WEST SIDE,283,29,10.2%,37,13.1%,261,92.2%
610563,BACK OF THE YARDS HS,ISP,District,Traditional,NEW CITY,"1,015",443,43.6%,96,9.5%,961,94.7%
610564,DISNEY II HS,Network 14,District,Traditional,IRVING PARK,727,107,14.7%,123,16.9%,468,64.4%
610565,EXCEL ENGLEWOOD HS,Options,Contract,Options,ENGLEWOOD,260,2,0.8%,43,16.5%,247,95.0%
610568,PATHWAYS - AVONDALE HS,Options,ALOP,Options,AVONDALE,307,79,25.7%,68,22.1%,282,91.9%
610569,OMBUDSMAN - NORTHWEST HS,Options,ALOP,Options,EDISON PARK,260,56,21.5%,59,22.7%,201,77.3%
610570,OMBUDSMAN - SOUTH HS,Options,ALOP,Options,CHICAGO LAWN,235,53,22.6%,38,16.2%,219,93.2%
610571,OMBUDSMAN - WEST HS,Options,ALOP,Options,NEAR WEST SIDE,197,14,7.1%,30,15.2%,190,96.4%
610572,SAFE ACHIEVE ES,Options,Safe,Options,SOUTH SHORE,7,0,0.0%,3,42.9%,5,71.4%
610573,SAFE ACHIEVE HS,Options,Safe,Options,SOUTH SHORE,23,0,0.0%,3,13.0%,21,91.3%
610586,SADLOWSKI,Network 13,District,Traditional,EAST SIDE,656,309,47.1%,151,23.0%,512,78.0%
610587,DYETT ARTS HS,Network 17,District,Traditional,WASHINGTON PARK,516,12,2.3%,88,17.1%,475,92.1%
610588,RICHARDSON,Network 10,District,Traditional,WEST LAWN,838,350,41.8%,101,12.1%,749,89.4%
610589,SOR JUANA,Network 8,District,Traditional,WEST ELSDON,545,102,18.7%,44,8.1%,257,47.2%
610590,BRONZEVILLE CLASSICAL,Network 9,District,Traditional,GRAND BOULEVARD,457,0,0.0%,15,3.3%,76,16.6%
610592,ENGLEWOOD STEM HS,Network 16,District,Traditional,ENGLEWOOD,631,95,15.1%,127,20.1%,586,92.9%
610593,OMBUDSMAN - ROSELAND HS,Options,ALOP,Options,MORGAN PARK,161,4,2.5%,29,18.0%,147,91.3%
610594,PATHWAYS - HUMBOLDT PARK HS,Options,ALOP,Options,WEST TOWN,144,28,19.4%,23,16.0%,121,84.0%
